"","x"
"293",TRUE
"294",FALSE
"295",TRUE
"296",TRUE
"297",TRUE
"298",FALSE
"299",FALSE
"300",FALSE
"301",TRUE
"302",TRUE
"303",FALSE
"304",FALSE
"305",FALSE
"306",TRUE
"307",FALSE
"308",TRUE
"309",FALSE
"310",TRUE
"311",FALSE
"312",TRUE
"313",TRUE
"314",TRUE
"315",TRUE
"316",TRUE
"317",TRUE
"318",TRUE
"319",TRUE
"320",FALSE
"321",TRUE
"322",TRUE
"323",FALSE
"324",TRUE
"325",FALSE
"326",TRUE
"327",TRUE
"328",TRUE
"329",FALSE
"330",FALSE
"331",TRUE
"332",TRUE
"333",TRUE
"334",TRUE
"335",FALSE
"336",TRUE
"337",TRUE
"338",TRUE
"339",TRUE
"340",TRUE
"341",TRUE
"342",TRUE
"343",TRUE
"344",TRUE
"345",TRUE
"346",FALSE
"347",TRUE
"348",FALSE
"349",FALSE
"350",FALSE
"351",TRUE
"352",TRUE
"353",FALSE
"354",TRUE
"355",TRUE
"356",FALSE
"357",TRUE
"358",TRUE
"359",FALSE
"360",FALSE
"361",TRUE
"362",TRUE
"363",FALSE
"364",TRUE
"365",TRUE
"366",TRUE
"367",FALSE
"368",TRUE
"369",FALSE
"370",TRUE
"371",TRUE
"372",TRUE
"373",TRUE
"374",TRUE
"375",FALSE
"376",TRUE
"377",TRUE
"378",TRUE
"379",TRUE
"380",FALSE
"381",FALSE
"382",FALSE
"383",TRUE
"384",FALSE
"385",TRUE
"386",FALSE
"387",TRUE
"388",TRUE
"389",TRUE
"390",TRUE
"391",TRUE
"392",TRUE
"393",TRUE
"394",TRUE
"395",FALSE
"396",TRUE
"397",TRUE
"398",TRUE
"399",TRUE
"400",FALSE
"401",FALSE
"402",TRUE
"403",FALSE
"404",FALSE
"405",TRUE
"406",TRUE
"407",TRUE
"408",FALSE
"409",TRUE
"410",TRUE
"411",FALSE
"412",FALSE
"413",FALSE
"414",TRUE
"415",TRUE
"416",FALSE
"417",TRUE
"418",TRUE
"419",TRUE
"420",FALSE
"421",TRUE
"422",TRUE
"423",TRUE
"424",TRUE
"425",TRUE
"426",TRUE
"427",TRUE
"428",TRUE
"429",FALSE
"430",TRUE
"431",TRUE
"432",FALSE
"433",FALSE
"434",FALSE
"435",FALSE
"436",TRUE
"437",FALSE
"438",TRUE
"439",FALSE
"440",FALSE
"441",TRUE
"442",FALSE
"443",FALSE
"444",FALSE
"445",TRUE
"446",FALSE
"447",FALSE
"448",FALSE
"449",TRUE
"450",TRUE
"451",TRUE
"452",FALSE
"453",TRUE
"454",TRUE
"455",FALSE
"456",TRUE
"457",FALSE
"458",FALSE
"459",TRUE
"460",FALSE
"461",TRUE
"462",TRUE
"463",TRUE
"464",TRUE
"465",TRUE
"466",TRUE
"467",TRUE
"468",TRUE
"469",FALSE
"470",TRUE
"471",FALSE
"472",TRUE
"473",FALSE
"474",FALSE
"475",FALSE
"476",TRUE
"477",FALSE
"478",TRUE
"479",FALSE
"480",TRUE
"481",TRUE
"482",TRUE
"483",TRUE
"484",FALSE
"485",TRUE
"486",TRUE
"487",FALSE
"488",FALSE
"489",TRUE
"490",FALSE
"491",TRUE
"492",TRUE
"493",TRUE
"494",TRUE
"495",TRUE
"496",TRUE
"497",TRUE
"498",TRUE
"499",TRUE
"500",TRUE
"501",TRUE
"502",FALSE
"503",FALSE
"504",FALSE
"505",TRUE
"506",TRUE
"507",TRUE
"508",FALSE
"509",FALSE
"510",TRUE
"511",TRUE
"512",TRUE
"513",TRUE
"514",TRUE
"515",FALSE
"516",TRUE
"517",FALSE
"518",TRUE
"519",TRUE
"520",TRUE
"521",TRUE
"522",TRUE
"523",FALSE
"524",FALSE
"525",FALSE
"526",TRUE
"527",TRUE
"528",TRUE
"529",FALSE
"530",TRUE
"531",TRUE
"532",TRUE
"533",FALSE
"534",TRUE
"535",TRUE
"536",FALSE
"537",TRUE
"538",TRUE
"539",FALSE
"540",FALSE
"541",FALSE
"542",TRUE
"543",FALSE
"544",TRUE
"545",TRUE
"546",TRUE
"547",TRUE
"548",TRUE
"549",FALSE
"550",TRUE
"551",FALSE
"552",TRUE
"553",TRUE
"554",TRUE
"555",TRUE
"556",TRUE
"557",TRUE
"558",FALSE
"559",TRUE
"560",TRUE
"561",TRUE
"562",FALSE
"563",FALSE
"564",TRUE
"565",TRUE
"566",TRUE
"567",FALSE
"568",FALSE
"569",TRUE
"570",FALSE
"571",FALSE
"572",TRUE
"573",TRUE
"574",FALSE
"575",TRUE
"576",FALSE
"577",TRUE
"578",TRUE
"579",TRUE
"580",TRUE
"581",TRUE
"582",FALSE
"583",TRUE
"584",TRUE
"585",FALSE
"586",FALSE
"587",TRUE
"588",TRUE
"589",FALSE
"590",FALSE
"591",TRUE
"592",TRUE
"593",TRUE
"594",TRUE
"595",TRUE
"596",TRUE
"597",FALSE
"598",TRUE
"599",FALSE
"600",TRUE
"601",TRUE
"602",TRUE
"603",FALSE
"604",TRUE
"605",FALSE
"606",TRUE
"607",TRUE
"608",TRUE
"609",FALSE
"610",FALSE
"611",TRUE
"612",TRUE
"613",FALSE
"614",FALSE
"615",TRUE
"616",FALSE
"617",TRUE
"618",TRUE
"619",FALSE
"620",FALSE
"621",FALSE
"622",FALSE
"623",FALSE
"624",FALSE
"625",TRUE
"626",TRUE
"627",TRUE
"628",TRUE
"629",FALSE
"630",TRUE
"631",FALSE
"632",FALSE
"633",TRUE
"634",TRUE
"635",FALSE
"636",TRUE
"637",TRUE
"638",TRUE
"639",FALSE
"640",FALSE
"641",TRUE
"642",FALSE
"643",TRUE
"644",TRUE
"645",FALSE
"646",TRUE
"647",FALSE
"648",FALSE
"649",FALSE
"650",FALSE
"651",FALSE
"652",TRUE
"653",FALSE
"654",TRUE
"655",FALSE
"656",FALSE
"657",TRUE
"658",FALSE
"659",FALSE
"660",TRUE
"661",TRUE
"662",TRUE
"663",TRUE
"664",TRUE
"665",TRUE
"666",TRUE
"667",TRUE
"668",TRUE
"669",TRUE
"670",TRUE
"671",TRUE
"672",TRUE
"673",TRUE
"674",FALSE
"675",FALSE
"676",FALSE
"677",FALSE
"678",FALSE
"679",TRUE
"680",TRUE
"681",TRUE
"682",TRUE
"683",TRUE
"684",TRUE
"685",FALSE
"686",TRUE
"687",FALSE
"688",TRUE
"689",FALSE
"690",TRUE
"691",TRUE
"692",TRUE
"693",TRUE
"694",FALSE
"695",FALSE
"696",TRUE
"697",TRUE
"698",TRUE
"699",TRUE
"700",TRUE
"701",TRUE
"702",FALSE
"703",TRUE
"704",FALSE
"705",TRUE
"706",TRUE
"707",TRUE
"708",FALSE
"709",FALSE
"710",TRUE
"711",TRUE
"712",TRUE
"713",TRUE
"714",TRUE
"715",FALSE
"716",TRUE
"717",TRUE
"718",FALSE
"719",TRUE
"720",FALSE
"721",FALSE
"722",TRUE
"723",TRUE
"724",TRUE
"725",TRUE
"726",TRUE
"727",TRUE
"728",TRUE
"729",FALSE
"730",TRUE
"731",TRUE
"732",TRUE
"733",TRUE
"734",FALSE
"735",TRUE
"736",TRUE
"737",FALSE
"738",TRUE
"739",FALSE
"740",TRUE
"741",TRUE
"742",TRUE
"743",TRUE
"744",FALSE
"745",FALSE
"746",TRUE
"747",FALSE
"748",TRUE
"749",FALSE
"750",TRUE
"751",FALSE
"752",TRUE
"753",FALSE
"754",FALSE
"755",TRUE
"756",TRUE
"757",TRUE
"758",TRUE
"759",TRUE
"760",TRUE
"761",TRUE
"762",FALSE
"763",TRUE
"764",TRUE
"765",TRUE
"766",FALSE
"767",FALSE
"768",TRUE
"769",TRUE
"770",TRUE
"771",FALSE
"772",TRUE
"773",FALSE
"774",FALSE
"775",TRUE
"776",FALSE
"777",FALSE
"778",TRUE
"779",TRUE
"780",FALSE
"781",TRUE
"782",FALSE
"783",FALSE
"784",FALSE
"785",TRUE
"786",FALSE
"787",TRUE
"788",TRUE
"789",TRUE
"790",FALSE
"791",FALSE
"792",TRUE
"793",TRUE
"794",TRUE
"795",TRUE
"796",TRUE
"797",TRUE
"798",FALSE
"799",FALSE
"800",TRUE
"801",FALSE
"802",TRUE
"803",TRUE
"804",TRUE
"805",TRUE
"806",FALSE
"807",TRUE
"808",TRUE
"809",FALSE
"810",FALSE
"811",TRUE
"812",TRUE
"813",TRUE
"814",FALSE
"815",FALSE
"816",FALSE
"817",TRUE
"818",TRUE
"819",TRUE
"820",TRUE
"821",TRUE
"822",FALSE
"823",TRUE
"824",TRUE
"825",TRUE
"826",FALSE
"827",TRUE
"828",FALSE
"829",FALSE
"830",FALSE
"831",FALSE
"832",FALSE
"833",TRUE
"834",TRUE
"835",TRUE
"836",FALSE
"837",TRUE
"838",TRUE
"839",TRUE
"840",TRUE
"841",TRUE
"842",TRUE
"843",FALSE
"844",TRUE
"845",TRUE
"846",FALSE
"847",TRUE
"848",TRUE
"849",FALSE
"850",TRUE
"851",TRUE
"852",TRUE
"853",TRUE
"854",FALSE
"855",FALSE
"856",TRUE
"857",TRUE
"858",FALSE
"859",TRUE
"860",TRUE
"861",FALSE
"862",FALSE
"863",TRUE
"864",TRUE
"865",FALSE
"866",TRUE
"867",TRUE
"868",FALSE
"869",FALSE
"870",TRUE
"871",FALSE
"872",TRUE
"873",FALSE
"874",TRUE
"875",FALSE
"876",TRUE
"877",FALSE
"878",FALSE
"879",TRUE
"880",TRUE
"881",TRUE
"882",FALSE
"883",FALSE
"884",TRUE
"885",TRUE
"886",TRUE
"887",TRUE
"888",FALSE
"889",FALSE
"890",TRUE
"891",TRUE
"892",TRUE
"893",TRUE
"894",FALSE
"895",FALSE
"896",TRUE
"897",TRUE
"898",FALSE
"899",TRUE
"900",FALSE
"901",FALSE
"902",TRUE
"903",FALSE
"904",TRUE
"905",FALSE
"906",TRUE
"907",FALSE
"908",TRUE
"909",FALSE
"910",TRUE
"911",TRUE
"912",TRUE
"913",TRUE
"914",TRUE
"915",FALSE
"916",TRUE
"917",TRUE
"918",FALSE
"919",FALSE
"920",TRUE
"921",FALSE
"922",TRUE
"923",TRUE
"924",TRUE
"925",TRUE
"926",FALSE
"927",FALSE
"928",FALSE
"929",TRUE
"930",TRUE
"931",TRUE
"932",TRUE
"933",TRUE
"934",FALSE
"935",TRUE
"936",FALSE
"937",TRUE
"938",FALSE
"939",TRUE
"940",FALSE
"941",TRUE
"942",TRUE
"943",FALSE
"944",TRUE
"945",FALSE
"946",TRUE
"947",TRUE
"948",FALSE
"949",TRUE
"950",TRUE
"951",TRUE
"952",FALSE
"953",TRUE
"954",TRUE
"955",FALSE
"956",TRUE
"957",TRUE
"958",TRUE
"959",TRUE
"960",FALSE
"961",TRUE
"962",TRUE
"963",TRUE
"964",TRUE
"965",TRUE
"966",FALSE
"967",FALSE
"968",TRUE
"969",FALSE
"970",TRUE
"971",FALSE
"972",TRUE
"973",FALSE
"974",TRUE
"975",TRUE
"976",FALSE
"977",TRUE
"978",TRUE
"979",TRUE
"980",TRUE
"981",TRUE
"982",TRUE
"983",FALSE
"984",TRUE
"985",FALSE
"986",TRUE
"987",TRUE
"988",TRUE
"989",TRUE
"990",TRUE
"991",TRUE
"992",FALSE
"993",TRUE
"994",FALSE
"995",TRUE
"996",TRUE
"997",TRUE
"998",TRUE
"999",TRUE
"1000",TRUE
"1001",FALSE
"1002",TRUE
"1003",TRUE
"1004",TRUE
"1005",TRUE
"1006",TRUE
"1007",TRUE
"1008",TRUE
"1009",TRUE
"1010",TRUE
"1011",TRUE
"1012",TRUE
"1013",TRUE
"1014",TRUE
"1015",TRUE
"1016",TRUE
"1017",TRUE
"1018",TRUE
"1019",TRUE
"1020",FALSE
"1021",FALSE
"1022",TRUE
"1023",TRUE
"1024",TRUE
"1025",TRUE
"1026",TRUE
"1027",TRUE
"1028",TRUE
"1029",FALSE
"1030",FALSE
"1031",TRUE
"1032",TRUE
"1033",FALSE
"1034",FALSE
"1035",TRUE
"1036",FALSE
"1037",TRUE
"1038",TRUE
"1039",TRUE
"1040",TRUE
"1041",FALSE
"1042",FALSE
"1043",TRUE
"1044",TRUE
"1045",FALSE
"1046",FALSE
"1047",FALSE
"1048",FALSE
"1049",TRUE
"1050",FALSE
"1051",TRUE
"1052",FALSE
"1053",TRUE
"1054",TRUE
"1055",TRUE
"1056",FALSE
"1057",FALSE
"1058",TRUE
"1059",FALSE
"1060",TRUE
"1061",TRUE
"1062",TRUE
"1063",FALSE
"1064",TRUE
"1065",TRUE
"1066",TRUE
"1067",TRUE
"1068",TRUE
"1069",FALSE
"1070",TRUE
"1071",TRUE
"1072",TRUE
"1073",TRUE
"1074",FALSE
"1075",FALSE
"1076",TRUE
"1077",TRUE
"1078",TRUE
"1079",FALSE
"1080",FALSE
"1081",TRUE
"1082",FALSE
"1083",TRUE
"1084",TRUE
"1085",FALSE
"1086",TRUE
"1087",TRUE
"1088",TRUE
"1089",TRUE
"1090",TRUE
"1091",TRUE
"1092",TRUE
"1093",FALSE
"1094",TRUE
"1095",FALSE
"1096",FALSE
"1097",FALSE
"1098",TRUE
"1099",FALSE
"1100",TRUE
"1101",TRUE
"1102",FALSE
"1103",FALSE
"1104",TRUE
"1105",TRUE
"1106",TRUE
"1107",FALSE
"1108",FALSE
"1109",FALSE
"1110",FALSE
"1111",FALSE
"1112",TRUE
"1113",TRUE
"1114",TRUE
"1115",FALSE
"1116",TRUE
"1117",FALSE
"1118",FALSE
"1119",FALSE
"1120",FALSE
"1121",TRUE
"1122",FALSE
"1123",FALSE
"1124",TRUE
"1125",TRUE
"1126",FALSE
"1127",TRUE
"1128",TRUE
"1129",TRUE
"1130",FALSE
"1131",TRUE
"1132",FALSE
"1133",FALSE
"1134",TRUE
"1135",TRUE
"1136",TRUE
"1137",TRUE
"1138",TRUE
"1139",TRUE
"1140",TRUE
"1141",TRUE
"1142",FALSE
"1143",TRUE
"1144",TRUE
"1145",FALSE
"1146",TRUE
"1147",TRUE
"1148",TRUE
"1149",TRUE
"1150",TRUE
"1151",TRUE
"1152",TRUE
"1153",TRUE
"1154",TRUE
"1155",TRUE
"1156",TRUE
"1157",TRUE
"1158",TRUE
"1159",FALSE
"1160",FALSE
"1161",TRUE
"1162",TRUE
"1163",FALSE
"1164",FALSE
"1165",TRUE
"1166",TRUE
"1167",TRUE
"1168",FALSE
"1169",TRUE
"1170",FALSE
"1171",TRUE
"1172",FALSE
"1173",TRUE
"1174",TRUE
"1175",TRUE
"1176",TRUE
"1177",TRUE
"1178",TRUE
"1179",TRUE
"1180",TRUE
"1181",TRUE
"1182",TRUE
"1183",TRUE
"1184",FALSE
"1185",FALSE
"1186",TRUE
"1187",TRUE
"1188",FALSE
"1189",FALSE
"1190",TRUE
"1191",TRUE
"1192",TRUE
"1193",FALSE
"1194",TRUE
"1195",TRUE
"1196",FALSE
"1197",TRUE
"1198",FALSE
"1199",TRUE
"1200",FALSE
"1201",FALSE
"1202",FALSE
"1203",FALSE
"1204",FALSE
"1205",TRUE
"1206",TRUE
"1207",FALSE
"1208",TRUE
"1209",TRUE
"1210",TRUE
"1211",TRUE
"1212",TRUE
"1213",TRUE
"1214",FALSE
"1215",TRUE
"1216",TRUE
"1217",TRUE
"1218",FALSE
"1219",FALSE
"1220",TRUE
"1221",FALSE
"1222",TRUE
"1223",TRUE
"1224",TRUE
"1225",FALSE
"1226",FALSE
"1227",FALSE
"1228",FALSE
"1229",TRUE
"1230",TRUE
"1231",TRUE
"1232",TRUE
"1233",TRUE
"1234",TRUE
"1235",FALSE
"1236",TRUE
"1237",FALSE
"1238",FALSE
"1239",TRUE
"1240",TRUE
"1241",TRUE
"1242",FALSE
"1243",FALSE
"1244",TRUE
"1245",FALSE
"1246",TRUE
"1247",TRUE
"1248",FALSE
"1249",FALSE
"1250",FALSE
"1251",FALSE
"1252",TRUE
"1253",TRUE
"1254",TRUE
"1255",TRUE
"1256",TRUE
"1257",TRUE
"1258",TRUE
"1259",TRUE
"1260",FALSE
"1261",TRUE
"1262",TRUE
"1263",TRUE
"1264",FALSE
"1265",TRUE
"1266",FALSE
"1267",FALSE
"1268",TRUE
"1269",FALSE
"1270",TRUE
"1271",FALSE
"1272",TRUE
"1273",FALSE
"1274",FALSE
"1275",TRUE
"1276",FALSE
"1277",FALSE
"1278",FALSE
"1279",TRUE
"1280",TRUE
"1281",TRUE
"1282",TRUE
"1283",TRUE
"1284",TRUE
"1285",TRUE
"1286",TRUE
"1287",TRUE
"1288",TRUE
"1289",TRUE
"1290",FALSE
"1291",FALSE
"1292",TRUE
"1293",FALSE
"1294",FALSE
"1295",FALSE
"1296",FALSE
"1297",TRUE
"1298",TRUE
"1299",TRUE
"1300",FALSE
"1301",TRUE
"1302",TRUE
"1303",TRUE
"1304",TRUE
"1305",TRUE
"1306",FALSE
"1307",FALSE
"1308",TRUE
"1309",TRUE
"1310",TRUE
"1311",TRUE
"1312",TRUE
"1313",TRUE
"1314",TRUE
"1315",TRUE
"1316",TRUE
"1317",TRUE
"1318",FALSE
"1319",FALSE
"1320",TRUE
"1321",TRUE
"1322",TRUE
"1323",TRUE
"1324",TRUE
"1325",TRUE
"1326",TRUE
"1327",TRUE
"1328",FALSE
"1329",FALSE
"1330",TRUE
"1331",TRUE
"1332",TRUE
"1333",TRUE
"1334",TRUE
"1335",FALSE
"1336",FALSE
"1337",FALSE
"1338",TRUE
"1339",TRUE
"1340",TRUE
"1341",FALSE
"1342",TRUE
"1343",TRUE
"1344",TRUE
"1345",TRUE
"1346",FALSE
"1347",FALSE
"1348",FALSE
"1349",FALSE
"1350",FALSE
"1351",FALSE
"1352",FALSE
"1353",TRUE
"1354",FALSE
"1355",TRUE
"1356",FALSE
"1357",FALSE
"1358",FALSE
"1359",FALSE
"1360",TRUE
"1361",FALSE
"1362",FALSE
"1363",FALSE
"1364",FALSE
"1365",TRUE
"1366",FALSE
"1367",TRUE
"1368",FALSE
"1369",TRUE
"1370",TRUE
"1371",FALSE
"1372",TRUE
"1373",TRUE
"1374",TRUE
"1375",TRUE
"1376",FALSE
"1377",TRUE
"1378",FALSE
"1379",FALSE
"1380",FALSE
"1381",FALSE
"1382",TRUE
"1383",FALSE
"1384",FALSE
"1385",FALSE
"1386",TRUE
"1387",FALSE
"1388",FALSE
"1389",TRUE
"1390",TRUE
"1391",TRUE
"1392",TRUE
"1393",TRUE
"1394",TRUE
"1395",TRUE
"1396",FALSE
"1397",FALSE
"1398",TRUE
"1399",TRUE
"1400",TRUE
"1401",TRUE
"1402",FALSE
"1403",FALSE
"1404",TRUE
"1405",FALSE
"1406",FALSE
"1407",TRUE
"1408",FALSE
"1409",TRUE
"1410",TRUE
"1411",TRUE
"1412",FALSE
"1413",TRUE
"1414",FALSE
"1415",TRUE
"1416",TRUE
"1417",TRUE
"1418",TRUE
"1419",FALSE
"1420",TRUE
"1421",TRUE
"1422",FALSE
"1423",TRUE
"1424",TRUE
"1425",FALSE
"1426",TRUE
"1427",FALSE
"1428",TRUE
"1429",TRUE
"1430",TRUE
"1431",TRUE
"1432",FALSE
"1433",FALSE
"1434",TRUE
"1435",TRUE
"1436",FALSE
"1437",TRUE
"1438",TRUE
"1439",TRUE
"1440",TRUE
"1441",TRUE
"1442",FALSE
"1443",FALSE
"1444",TRUE
"1445",TRUE
"1446",TRUE
"1447",FALSE
"1448",FALSE
"1449",TRUE
"1450",TRUE
"1451",TRUE
"1452",TRUE
"1453",FALSE
"1454",TRUE
"1455",FALSE
"1456",TRUE
"1457",TRUE
"1458",TRUE
"1459",TRUE
"1460",TRUE
"1461",TRUE
"1462",FALSE
"1463",TRUE
"1464",FALSE
"1465",TRUE
"1466",FALSE
"1467",FALSE
"1468",TRUE
"1469",TRUE
"1470",FALSE
"1471",FALSE
"1472",TRUE
"1473",TRUE
"1474",TRUE
"1475",TRUE
"1476",FALSE
"1477",TRUE
"1478",TRUE
"1479",FALSE
"1480",TRUE
"1481",FALSE
"1482",TRUE
"1483",TRUE
"1484",TRUE
"1485",FALSE
"1486",FALSE
"1487",TRUE
"1488",FALSE
"1489",TRUE
"1490",TRUE
"1491",TRUE
"1492",FALSE
"1493",TRUE
"1494",TRUE
"1495",TRUE
"1496",FALSE
"1497",TRUE
"1498",TRUE
"1499",FALSE
"1500",TRUE
"1501",FALSE
"1502",TRUE
"1503",TRUE
"1504",TRUE
"1505",TRUE
"1506",TRUE
"1507",TRUE
"1508",TRUE
"1509",FALSE
"1510",TRUE
"1511",TRUE
"1512",TRUE
"1513",TRUE
"1514",TRUE
"1515",FALSE
"1516",FALSE
"1517",TRUE
"1518",TRUE
"1519",TRUE
"1520",TRUE
"1521",FALSE
"1522",FALSE
"1523",TRUE
"1524",FALSE
"1525",TRUE
"1526",TRUE
"1527",TRUE
"1528",TRUE
"1529",TRUE
"1530",FALSE
"1531",TRUE
"1532",FALSE
"1533",TRUE
"1534",FALSE
"1535",TRUE
"1536",FALSE
"1537",TRUE
"1538",FALSE
"1539",FALSE
"1540",TRUE
"1541",TRUE
"1542",TRUE
"1543",TRUE
"1544",TRUE
"1545",FALSE
"1546",FALSE
"1547",TRUE
"1548",FALSE
"1549",TRUE
"1550",FALSE
"1551",FALSE
"1552",FALSE
"1553",TRUE
"1554",TRUE
"1555",TRUE
"1556",FALSE
"1557",TRUE
"1558",TRUE
"1559",FALSE
"1560",TRUE
"1561",TRUE
"1562",FALSE
"1563",TRUE
"1564",FALSE
"1565",FALSE
"1566",FALSE
"1567",TRUE
"1568",FALSE
"1569",FALSE
"1570",TRUE
"1571",TRUE
"1572",FALSE
"1573",FALSE
"1574",TRUE
"1575",FALSE
"1576",TRUE
"1577",TRUE
"1578",TRUE
"1579",TRUE
"1580",FALSE
"1581",TRUE
"1582",TRUE
"1583",FALSE
"1584",FALSE
"1585",TRUE
"1586",FALSE
"1587",TRUE
"1588",TRUE
"1589",TRUE
"1590",TRUE
"1591",TRUE
"1592",TRUE
"1593",TRUE
"1594",FALSE
"1595",TRUE
"1596",TRUE
"1597",TRUE
"1598",FALSE
"1599",TRUE
"1600",FALSE
"1601",TRUE
"1602",FALSE
"1603",TRUE
"1604",TRUE
"1605",FALSE
"1606",TRUE
"1607",TRUE
"1608",TRUE
"1609",FALSE
"1610",TRUE
"1611",TRUE
"1612",TRUE
"1613",FALSE
"1614",TRUE
"1615",TRUE
"1616",FALSE
"1617",TRUE
"1618",FALSE
"1619",TRUE
"1620",TRUE
"1621",TRUE
"1622",TRUE
"1623",TRUE
"1624",TRUE
"1625",TRUE
"1626",FALSE
"1627",TRUE
"1628",TRUE
"1629",TRUE
"1630",TRUE
"1631",TRUE
"1632",TRUE
"1633",TRUE
"1634",TRUE
"1635",FALSE
"1636",FALSE
"1637",FALSE
"1638",FALSE
"1639",TRUE
"1640",FALSE
"1641",FALSE
"1642",FALSE
"1643",FALSE
"1644",TRUE
"1645",FALSE
"1646",TRUE
"1647",TRUE
"1648",TRUE
"1649",TRUE
"1650",TRUE
"1651",TRUE
"1652",FALSE
"1653",FALSE
"1654",TRUE
"1655",TRUE
"1656",TRUE
"1657",FALSE
"1658",TRUE
"1659",FALSE
"1660",TRUE
"1661",TRUE
"1662",FALSE
"1663",TRUE
"1664",TRUE
"1665",TRUE
